code_village,name_village,voters,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana
529303,Kraj: Středočeský kraj,13 104,8 485,8 437,1 052,10,2,624,3,802,597,109,35,112,6,11,948
532568,Kraj: Středočeský kraj,191,148,148,4,0,0,17,0,6,7,1,4,0,0,0,7
530743,Kraj: Středočeský kraj,170,121,118,7,0,0,15,0,8,18,0,2,0,0,0,3
532380,Kraj: Středočeský kraj,96,80,77,6,0,0,5,0,3,11,0,0,3,0,0,5
532096,Kraj: Středočeský kraj,73,54,53,2,0,0,2,0,4,4,1,0,1,0,0,3
532924,Kraj: Středočeský kraj,598,393,393,50,0,0,20,0,53,20,8,0,6,0,0,49
529451,Kraj: Středočeský kraj,3 490,2 206,2 200,204,6,2,187,0,158,136,25,12,11,1,1,223
532690,Kraj: Středočeský kraj,106,83,83,3,0,0,5,0,4,4,2,0,1,0,0,11
529478,Kraj: Středočeský kraj,93,71,71,7,0,0,6,0,8,3,0,0,2,0,0,6
529486,Kraj: Středočeský kraj,1 140,750,744,70,1,1,54,2,50,75,5,6,15,0,0,58
529516,Kraj: Středočeský kraj,2 195,1 453,1 443,200,1,0,97,1,126,66,22,11,15,0,1,191
529532,Kraj: Středočeský kraj,258,187,187,13,0,0,5,0,13,15,3,2,3,0,2,23
529541,Kraj: Středočeský kraj,129,82,82,9,0,0,3,0,6,3,1,0,1,0,0,6
529567,Kraj: Středočeský kraj,539,403,400,72,0,0,20,1,43,15,1,2,11,2,0,46
532746,Kraj: Středočeský kraj,49,40,40,0,0,0,2,0,0,3,0,0,0,0,0,3
529621,Kraj: Středočeský kraj,1 305,830,816,52,0,0,60,1,86,78,3,7,14,2,1,76
529648,Kraj: Středočeský kraj,727,445,445,24,0,0,45,0,24,66,8,2,9,0,0,47
532151,Kraj: Středočeský kraj,70,58,57,8,0,0,1,0,2,1,1,0,1,0,0,6
532843,Kraj: Středočeský kraj,55,38,38,5,0,0,6,0,3,3,0,0,0,0,0,5
529702,Kraj: Středočeský kraj,571,375,374,27,1,0,22,0,34,39,4,3,0,0,0,25
532932,Kraj: Středočeský kraj,24,19,19,0,0,0,0,0,0,1,0,0,1,0,0,3
529737,Kraj: Středočeský kraj,237,173,173,20,0,0,11,0,11,20,1,0,2,0,0,12
529745,Kraj: Středočeský kraj,257,189,189,23,1,0,6,0,13,14,1,4,1,1,0,32
532886,Kraj: Středočeský kraj,145,114,112,8,1,0,11,0,15,17,0,1,4,0,1,10
532878,Kraj: Středočeský kraj,46,33,32,3,0,0,0,0,9,2,1,1,0,0,0,2
532045,Kraj: Středočeský kraj,278,177,176,29,0,0,5,0,18,5,5,0,2,0,0,32
529770,Kraj: Středočeský kraj,112,87,87,5,0,0,3,0,5,6,0,0,0,0,0,4
529788,Kraj: Středočeský kraj,112,95,95,4,0,0,8,0,4,0,1,1,0,0,0,11
529796,Kraj: Středočeský kraj,991,664,659,74,1,1,50,0,42,51,9,4,12,0,2,119
532606,Kraj: Středočeský kraj,58,34,34,5,0,0,2,0,4,1,0,1,0,0,0,0
529818,Kraj: Středočeský kraj,434,294,292,27,0,0,29,0,31,16,1,5,6,1,0,35
532037,Kraj: Středočeský kraj,187,123,123,20,0,0,1,0,9,14,1,1,0,1,0,20
529842,Kraj: Středočeský kraj,748,430,429,23,0,0,28,1,51,34,3,2,5,0,0,49
529851,Kraj: Středočeský kraj,104,79,79,3,0,0,11,0,7,5,2,1,0,0,0,9
532134,Kraj: Středočeský kraj,106,68,67,2,0,0,4,0,6,6,0,0,1,0,0,7
531031,Kraj: Středočeský kraj,121,82,81,17,0,0,5,0,2,1,0,0,2,0,0,9
529907,Kraj: Středočeský kraj,155,99,99,10,0,0,10,0,8,10,0,1,1,0,0,6
533084,Kraj: Středočeský kraj,245,183,182,14,0,0,9,0,15,17,1,1,4,0,0,24
529931,Kraj: Středočeský kraj,383,272,267,28,2,0,35,0,29,24,1,6,1,0,1,28
529940,Kraj: Středočeský kraj,241,171,170,21,0,0,12,0,6,13,2,5,2,0,0,19
529958,Kraj: Středočeský kraj,765,505,502,70,1,0,20,0,58,27,7,3,7,0,1,68
529974,Kraj: Středočeský kraj,361,242,241,38,1,0,10,0,12,20,2,0,6,0,1,27
529991,Kraj: Středočeský kraj,632,451,448,30,0,1,24,0,47,40,8,5,0,1,0,55
530000,Kraj: Středočeský kraj,351,222,222,17,0,0,16,0,19,11,4,1,3,0,3,41
530026,Kraj: Středočeský kraj,66,61,61,5,0,0,3,0,6,3,0,0,0,0,0,3
530051,Kraj: Středočeský kraj,567,371,370,37,0,0,13,0,31,39,6,1,13,2,1,40
530069,Kraj: Středočeský kraj,156,107,107,5,2,0,10,0,3,15,0,0,2,0,0,3
532258,Kraj: Středočeský kraj,54,39,39,2,0,0,0,0,4,4,1,0,0,0,1,3
530093,Kraj: Středočeský kraj,456,351,350,24,0,0,31,0,16,28,2,4,6,0,0,46
530107,Kraj: Středočeský kraj,563,369,365,43,2,0,32,0,25,25,4,1,0,0,0,35
532193,Kraj: Středočeský kraj,331,225,226,32,0,0,11,0,24,20,2,1,6,0,1,30
530115,Kraj: Středočeský kraj,602,421,419,26,0,0,23,0,35,43,11,2,4,0,0,55
530158,Kraj: Středočeský kraj,297,203,201,20,0,0,18,0,19,24,0,1,11,0,0,18
530166,Kraj: Středočeský kraj,728,449,449,33,0,0,27,0,44,28,6,6,3,0,1,40
530174,Kraj: Středočeský kraj,149,102,100,18,0,0,2,0,8,0,0,0,0,0,0,9
530191,Kraj: Středočeský kraj,184,114,114,8,0,0,9,0,5,16,3,1,0,2,0,10
530204,Kraj: Středočeský kraj,637,431,429,47,0,0,19,0,56,34,12,4,7,0,0,47
530212,Kraj: Středočeský kraj,881,512,509,42,1,0,28,1,42,52,2,1,6,1,1,51
530263,Kraj: Středočeský kraj,545,390,388,65,0,0,24,0,26,19,6,1,3,0,0,63
530298,Kraj: Středočeský kraj,899,575,573,64,1,0,42,0,46,60,6,1,10,1,0,60
530301,Kraj: Středočeský kraj,423,264,263,5,0,0,26,0,24,21,3,4,11,0,0,15
530310,Kraj: Středočeský kraj,2 080,1 238,1 218,153,2,0,81,1,76,82,21,8,18,3,3,147
530344,Kraj: Středočeský kraj,991,664,660,44,0,1,41,0,57,61,9,3,1,0,0,49
599395,Kraj: Středočeský kraj,52,32,30,2,0,0,0,0,3,4,0,0,0,0,1,5
530352,Kraj: Středočeský kraj,292,206,205,18,0,0,15,0,18,6,2,8,3,1,0,25
533076,Kraj: Středočeský kraj,168,121,119,4,2,0,13,0,6,15,2,4,2,0,0,6
530409,Kraj: Středočeský kraj,243,161,161,21,2,0,13,0,22,6,3,2,0,1,0,13
532649,Kraj: Středočeský kraj,233,157,155,13,0,0,15,0,10,18,2,1,1,0,0,16
530441,Kraj: Středočeský kraj,987,671,669,102,0,0,46,0,63,24,7,3,9,0,0,51
530450,Kraj: Středočeský kraj,1 030,662,653,68,0,0,30,2,70,42,7,3,4,0,0,76
530476,Kraj: Středočeský kraj,447,290,289,26,0,0,19,0,22,30,2,0,9,0,0,29
530492,Kraj: Středočeský kraj,296,222,221,39,1,0,13,0,10,10,2,4,1,0,0,24
530514,Kraj: Středočeský kraj,113,69,69,10,0,0,5,0,7,7,1,0,1,0,0,7
538680,Kraj: Středočeský kraj,1 399,1 014,1 008,175,0,1,60,0,135,40,16,7,18,1,3,146
530522,Kraj: Středočeský kraj,235,168,168,38,1,0,9,0,11,11,0,2,1,0,0,19
530531,Kraj: Středočeský kraj,296,184,183,19,1,0,8,0,20,16,0,2,6,0,0,16
530549,Kraj: Středočeský kraj,140,104,104,8,0,0,10,0,10,11,2,2,0,0,0,6
532550,Kraj: Středočeský kraj,238,156,155,18,0,0,7,1,35,10,2,0,1,0,0,10
538710,Kraj: Středočeský kraj,366,252,252,34,0,0,15,0,26,8,2,4,2,0,0,48
532941,Kraj: Středočeský kraj,180,108,108,7,0,0,5,0,8,10,1,1,1,0,0,18
534382,Kraj: Středočeský kraj,3 090,1 881,1 867,216,5,2,203,2,193,155,27,7,22,3,4,180
532231,Kraj: Středočeský kraj,31,22,22,3,0,0,1,0,0,3,0,0,0,0,0,1
530611,Kraj: Středočeský kraj,231,146,144,3,0,0,15,0,14,17,1,1,0,0,0,8
532436,Kraj: Středočeský kraj,89,64,64,11,0,0,3,0,2,1,0,0,0,0,0,11
530638,Kraj: Středočeský kraj,319,227,225,23,0,0,17,0,24,12,2,1,2,2,0,25
599387,Kraj: Středočeský kraj,219,146,146,6,0,0,14,0,11,8,1,1,4,0,0,8
